Model,Accuracy,Govt. Critique P,Govt. Critique R,Govt. Critique F1,Neutral P,Neutral R,Neutral F1,Govt. Leaning P,Govt. Leaning R,Govt. Leaning F1,Weighted Avg. P,Weighted Avg. R,Weighted Avg. F1
Qwen2.5-0.5B,0.17,0,0,0,0,0,0,0.17,1,0.28,0.03,0.17,0.05
Qwen3-0.6B,0.41,0.58,0.57,0.57,0.35,0.15,0.21,0.22,0.52,0.31,0.44,0.41,0.4
Qwen3-1.7B,0.52,0.71,0.69,0.7,0.54,0.21,0.3,0.28,0.67,0.39,0.58,0.52,0.51
Qwen2.5-3B,0.5,0.59,0.83,0.69,0,0,0,0.33,0.64,0.43,0.34,0.5,0.4
Qwen3-4B-I,0.52,0.68,0.8,0.73,0.5,0.07,0.12,0.28,0.67,0.4,0.55,0.52,0.46
Llama3.1-8B,0.55,0.58,0.88,0.7,0.5,0.1,0.16,0.45,0.55,0.49,0.53,0.55,0.47
Qwen3-4B-T,0.57,0.85,0.46,0.6,0.48,0.76,0.59,0.48,0.48,0.48,0.65,0.57,0.58
Qwen3-4B,0.58,0.73,0.68,0.71,0.56,0.42,0.48,0.39,0.67,0.49,0.61,0.58,0.59
Qwen3-8B,0.62,0.75,0.73,0.74,0.62,0.42,0.5,0.42,0.76,0.54,0.65,0.62,0.62
TigerLLM-9B,0.68,0.74,0.78,0.76,0.62,0.65,0.64,0.62,0.45,0.53,0.68,0.68,0.68
Qwen2.5-14B,0.57,0.72,0.75,0.74,0.62,0.29,0.4,0.34,0.7,0.46,0.62,0.57,0.57
Qwen3-30B-I,0.62,0.7,0.89,0.78,0.77,0.24,0.36,0.41,0.7,0.52,0.68,0.62,0.59
Qwen3-14B,0.61,0.76,0.66,0.71,0.51,0.6,0.55,0.48,0.48,0.48,0.62,0.61,0.61
Qwen3-30B-T,0.61,0.85,0.56,0.68,0.51,0.64,0.57,0.5,0.73,0.59,0.67,0.61,0.62
GPT-OSS-20B,0.64,0.75,0.72,0.73,0.55,0.6,0.57,0.55,0.52,0.53,0.64,0.64,0.64
Qwen3-32B,0.68,0.82,0.68,0.75,0.55,0.72,0.63,0.7,0.58,0.63,0.71,0.68,0.68
DeepSeek-V3.1,0.64,0.79,0.76,0.77,0.59,0.44,0.51,0.42,0.7,0.52,0.66,0.64,0.64
DeepSeek-R1,0.67,0.76,0.78,0.77,0.6,0.53,0.56,0.54,0.64,0.58,0.66,0.67,0.66
GPT-OSS-120B,0.67,0.76,0.78,0.77,0.59,0.51,0.55,0.55,0.67,0.6,0.66,0.67,0.66
GLM-4.5,0.69,0.82,0.72,0.76,0.6,0.69,0.65,0.59,0.61,0.6,0.7,0.69,0.69
Grok-4,0.69,0.84,0.67,0.75,0.6,0.75,0.67,0.59,0.61,0.6,0.71,0.69,0.69
Qwen3-235B-T,0.72,0.81,0.77,0.79,0.66,0.69,0.68,0.62,0.64,0.63,0.72,0.72,0.72
Llama3.3-70B,0.73,0.77,0.91,0.83,0.8,0.5,0.62,0.57,0.76,0.65,0.75,0.73,0.73
Qwen3-235B-I,0.74,0.78,0.86,0.82,0.71,0.62,0.67,0.66,0.64,0.65,0.74,0.74,0.74
GPT-5-Mini,0.65,0.88,0.6,0.71,0.52,0.75,0.62,0.56,0.55,0.55,0.7,0.65,0.65
GPT-4.1-Mini,0.66,0.81,0.74,0.77,0.58,0.53,0.55,0.49,0.73,0.59,0.68,0.66,0.66
Gemini-2.5-Pro,0.69,0.79,0.77,0.78,0.61,0.61,0.61,0.56,0.61,0.58,0.69,0.69,0.69
Claude-Sonnet-4,0.71,0.9,0.73,0.8,0.63,0.69,0.66,0.52,0.7,0.6,0.74,0.71,0.72
